ID,Date,SVXY Open,SVXY Close,VXX Open,VXX Close,VIX,SPX,Daily Return,LN(1+ret),21D RV*100,VIX - RV,Long SVXY,Long VXX,SVXY units,VXX units,SVXY MTM,VXX MTM,Equity,Daily Return,LN(1+ret)
122015,12/09/2015,110.56,107.34,311.68,319.84,19.61,2047.62,-0.77%,-0.78%,15.33,1.19,1,0,3100,1121,0,13631," 1,668,801 ",0.82%,0.82%
122015,12/10/2015,106.74,105.98,321.76,324.48,19.34,2052.23,0.23%,0.22%,15.34,-0.05,0,1,3109,1121,-2529,1972," 1,668,245 ",-0.03%,-0.03%
122015,12/11/2015,100.34,90.28,341.44,373.12,24.39,2012.37,-1.94%,-1.96%,16.66,-0.60,0,1,3109,1028,-17691,32392," 1,682,945 ",0.88%,0.88%
122015,12/14/2015,90.44,96.04,370.24,346.72,22.73,2021.94,0.48%,0.47%,16.13,2.24,1,0,3109,1028,0,-27139," 1,655,806 ",-1.61%,-1.63%
122015,12/15/2015,99.44,100.12,334.24,332.16,20.95,2043.41,1.06%,1.06%,16.08,4.00,1,0,3448,1028,2173,-13001," 1,644,978 ",-0.65%,-0.66%
122015,12/16/2015,103.36,106.76,320.16,309.44,17.86,2073.07,1.45%,1.44%,16.03,2.13,1,0,3448,1028,22895,0," 1,667,873 ",1.39%,1.38%
122015,12/17/2015,107.58,102.40,307.36,322.55,18.94,2041.89,-1.50%,-1.52%,16.91,1.93,1,0,3448,1028,-15033,0," 1,652,840 ",-0.90%,-0.91%
122015,12/18/2015,98.84,94.36,333.28,348.32,20.70,2005.55,-1.78%,-1.80%,16.88,-0.03,0,1,3448,1028,-27722,0," 1,625,118 ",-1.68%,-1.69%
122015,12/21/2015,97.70,98.46,335.36,332.16,18.70,2021.15,0.78%,0.77%,17.20,-0.21,0,1,3448,933,11348,-3142," 1,633,323 ",0.50%,0.50%
122015,12/22/2015,101.52,103.30,321.28,315.84,16.60,2038.97,0.88%,0.88%,17.47,-2.00,0,1,3448,933,0,-15227," 1,618,097 ",-0.93%,-0.94%
122015,12/23/2015,105.68,105.62,308.00,308.34,15.57,2064.29,1.24%,1.23%,18.09,-2.47,0,1,3448,933,0,-7001," 1,611,096 ",-0.43%,-0.43%
122015,12/24/2015,104.78,103.68,310.56,313.92,15.74,2060.99,-0.16%,-0.16%,18.08,-2.15,0,1,3448,933,0,5210," 1,616,306 ",0.32%,0.32%
122015,12/28/2015,101.96,104.80,319.36,310.24,16.91,2056.50,-0.22%,-0.22%,18.09,-2.90,0,1,3448,933,0,-3433," 1,612,872 ",-0.21%,-0.21%
122015,12/29/2015,106.54,106.80,305.28,305.12,16.08,2078.36,1.06%,1.06%,18.51,-3.39,0,1,3448,933,0,-4777," 1,608,095 ",-0.30%,-0.30%
122015,12/30/2015,105.36,103.42,308.64,313.92,17.29,2063.36,-0.72%,-0.72%,18.61,-2.48,0,1,3448,933,0,8210," 1,616,306 ",0.51%,0.51%
122015,12/31/2015,102.04,100.90,318.24,321.60,18.21,2043.94,-0.94%,-0.95%,18.41,-3.74,0,1,3448,933,0,7165," 1,623,471 ",0.44%,0.44%
12016,01/04/2016,92.96,94.52,346.56,341.42,20.70,2012.66,-1.53%,-1.54%,18.75,-2.84,0,1,3448,933,0,18496," 1,641,967 ",1.14%,1.13%
12016,01/05/2016,96.84,97.72,333.76,330.72,19.34,2016.71,0.20%,0.20%,18.19,-0.08,0,1,3448,933,0,-9987," 1,631,980 ",-0.61%,-0.61%
12016,01/06/2016,91.24,94.78,352.72,340.64,20.59,1990.26,-1.31%,-1.32%,16.93,-2.12,0,1,3448,933,0,9255," 1,641,235 ",0.57%,0.57%
12016,01/07/2016,88.42,84.68,364.00,377.60,24.99,1943.09,-2.37%,-2.40%,18.43,-2.59,0,1,3448,933,0,34484," 1,675,719 ",2.10%,2.08%
12016,01/08/2016,87.20,79.74,364.00,397.28,27.01,1922.03,-1.08%,-1.09%,18.59,-0.99,0,1,3448,933,0,18361," 1,694,080 ",1.10%,1.09%
12016,01/11/2016,80.44,82.08,392.80,384.32,24.30,1923.67,0.09%,0.09%,18.57,1.04,1,0,3448,933,0,-12092," 1,681,989 ",-0.71%,-0.72%
12016,01/12/2016,85.54,86.02,368.80,366.56,22.47,1938.68,0.78%,0.78%,18.86,0.48,1,0,4098,933,1792,-14652," 1,669,128 ",-0.76%,-0.77%
12016,01/13/2016,87.64,77.20,359.36,403.20,25.22,1890.28,-2.50%,-2.53%,19.57,4.82,1,0,4098,933,-36144,0," 1,632,984 ",-2.17%,-2.19%
12016,01/14/2016,78.00,80.06,399.52,388.64,23.95,1921.84,1.67%,1.66%,20.57,2.16,1,0,4098,933,11720,0," 1,644,704 ",0.72%,0.72%
12016,01/15/2016,71.24,72.06,431.68,427.20,27.02,1880.33,-2.16%,-2.18%,21.04,-0.09,0,1,4098,933,-32784,0," 1,611,920 ",-1.99%,-2.01%
12016,01/19/2016,74.98,72.02,411.04,427.36,26.05,1881.33,0.05%,0.05%,20.03,-2.17,0,1,4098,754,11813,12150," 1,635,883 ",1.49%,1.48%
12016,01/20/2016,69.66,70.22,441.44,438.58,27.59,1859.33,-1.17%,-1.18%,19.84,-0.90,0,1,4098,754,0,8457," 1,644,340 ",0.52%,0.52%
12016,01/21/2016,70.90,70.50,433.28,436.64,26.69,1868.99,0.52%,0.52%,19.48,1.22,1,0,4098,754,0,-1460," 1,642,880 ",-0.09%,-0.09%
12016,01/22/2016,73.80,76.38,416.64,400.00,22.34,1906.90,2.03%,2.01%,20.81,-2.11,0,1,4660,754,11851,-15237," 1,639,494 ",-0.21%,-0.21%
12016,01/25/2016,75.36,72.42,405.04,419.84,24.15,1877.08,-1.56%,-1.58%,20.83,-4.23,0,1,4660,819,-4929,11955," 1,646,520 ",0.43%,0.43%
12016,01/26/2016,73.50,75.86,413.92,399.84,22.50,1903.63,1.41%,1.40%,21.01,-5.44,0,1,4660,819,0,-16380," 1,630,140 ",-0.99%,-1.00%
12016,01/27/2016,75.02,72.76,404.80,416.31,23.11,1882.95,-1.09%,-1.09%,21.13,-5.39,0,1,4660,819,0,13487," 1,643,627 ",0.83%,0.82%
12016,01/28/2016,75.20,75.24,402.72,402.40,22.42,1893.36,0.55%,0.55%,21.39,-4.48,0,1,4660,819,0,-11390," 1,632,237 ",-0.69%,-0.70%
12016,01/29/2016,75.80,78.24,399.52,385.92,20.20,1940.24,2.48%,2.45%,23.09,-7.01,0,1,4660,819,0,-13497," 1,618,740 ",-0.83%,-0.83%
22016,02/01/2016,77.76,79.12,388.00,381.44,19.98,1939.38,-0.04%,-0.04%,23.06,-5.77,0,1,4660,819,0,-3669," 1,615,071 ",-0.23%,-0.23%
22016,02/02/2016,76.54,73.72,393.44,406.40,21.98,1903.03,-1.87%,-1.89%,23.61,-5.40,0,1,4660,819,0,20442," 1,635,513 ",1.27%,1.26%
22016,02/03/2016,75.00,74.68,400.00,401.92,21.65,1912.53,0.50%,0.50%,23.36,-2.66,0,1,4660,819,0,-3669," 1,631,844 ",-0.22%,-0.22%
22016,02/04/2016,73.76,73.86,406.88,405.76,21.84,1915.45,0.15%,0.15%,23.35,-4.01,0,1,4660,819,0,3145," 1,634,989 ",0.19%,0.19%
22016,02/05/2016,74.06,70.94,404.96,421.76,23.38,1880.05,-1.85%,-1.87%,23.73,-3.14,0,1,4660,819,0,13104," 1,648,093 ",0.80%,0.80%
22016,02/08/2016,68.30,67.52,437.92,441.92,26.00,1853.44,-1.42%,-1.43%,22.88,2.11,1,0,4660,819,0,16511," 1,664,604 ",1.00%,1.00%
22016,02/09/2016,64.80,67.02,459.68,446.08,26.54,1852.21,-0.07%,-0.07%,22.66,4.35,1,0,4930,819,10785,14357," 1,689,746 ",1.51%,1.50%
22016,02/10/2016,68.24,66.50,437.28,449.12,26.29,1851.86,-0.02%,-0.02%,22.65,1.65,1,0,4930,819,-2564,0," 1,687,182 ",-0.15%,-0.15%
22016,02/11/2016,61.98,62.46,479.52,476.48,28.14,1829.08,-1.23%,-1.24%,22.65,-0.18,0,1,4930,819,-19917,0," 1,667,265 ",-1.18%,-1.19%
22016,02/12/2016,64.40,65.16,462.72,456.96,25.40,1864.78,1.95%,1.93%,22.38,2.84,1,0,4930,699,9405,-4188," 1,672,483 ",0.31%,0.31%
22016,02/16/2016,67.40,68.14,441.28,436.00,24.11,1895.58,1.65%,1.64%,22.36,1.59,1,0,5133,699,3625,-11115," 1,664,994 ",-0.45%,-0.45%
22016,02/17/2016,69.72,70.80,425.28,418.88,22.31,1926.82,1.65%,1.63%,21.73,5.29,1,0,5133,699,13654,0," 1,678,647 ",0.82%,0.82%
22016,02/18/2016,71.22,70.96,416.00,417.28,21.64,1917.83,-0.47%,-0.47%,21.82,4.23,1,0,5133,699,821,0," 1,679,469 ",0.05%,0.05%
22016,02/19/2016,69.76,72.86,424.96,406.72,20.53,1917.78,0.00%,0.00%,21.34,6.25,1,0,5133,699,9753,0," 1,689,221 ",0.58%,0.58%
22016,02/22/2016,74.90,77.00,395.36,383.52,19.38,1945.50,1.45%,1.44%,21.77,4.92,1,0,5133,699,21251,0," 1,710,472 ",1.26%,1.25%
22016,02/23/2016,76.04,73.14,388.80,402.88,20.98,1921.27,-1.25%,-1.25%,21.26,1.08,1,0,5133,699,-19813,0," 1,690,659 ",-1.16%,-1.17%
22016,02/24/2016,70.10,73.56,419.68,400.32,20.72,1929.80,0.44%,0.44%,20.46,3.69,1,0,5133,699,2156,0," 1,692,814 ",0.13%,0.13%
22016,02/25/2016,74.16,76.12,397.12,386.56,19.11,1951.70,1.13%,1.13%,20.27,2.23,1,0,5133,699,13141,0," 1,705,955 ",0.78%,0.77%
22016,02/26/2016,77.36,75.00,380.16,392.00,19.81,1948.05,-0.19%,-0.19%,19.82,3.29,1,0,5133,699,-5749,0," 1,700,206 ",-0.34%,-0.34%
22016,02/29/2016,75.24,73.76,390.32,398.08,20.55,1932.23,-0.81%,-0.82%,20.05,2.37,1,0,5133,699,-6365,0," 1,693,841 ",-0.37%,-0.38%
32016,03/01/2016,75.52,80.18,388.64,363.52,17.70,1978.35,2.39%,2.36%,19.92,0.28,1,0,5133,699,32954,0," 1,726,795 ",1.95%,1.93%
32016,03/02/2016,79.78,81.52,364.64,357.12,17.09,1986.45,0.41%,0.41%,19.94,0.04,1,0,5133,699,6878,0," 1,733,673 ",0.40%,0.40%
32016,03/03/2016,81.04,84.12,359.04,345.44,16.70,1993.40,0.35%,0.35%,18.58,3.40,1,0,5133,699,13346,0," 1,747,019 ",0.77%,0.77%
32016,03/04/2016,85.46,83.10,340.00,349.75,16.86,1999.99,0.33%,0.33%,18.56,3.09,1,0,5133,699,-5236,0," 1,741,783 ",-0.30%,-0.30%
32016,03/07/2016,81.38,82.82,356.48,350.24,17.35,2001.76,0.09%,0.09%,18.56,3.28,1,0,5133,699,-1437,0," 1,740,346 ",-0.08%,-0.08%
32016,03/08/2016,81.06,79.58,357.44,363.68,18.67,1979.26,-1.12%,-1.13%,17.70,5.68,1,0,5133,699,-16631,0," 1,723,715 ",-0.96%,-0.96%
32016,03/09/2016,80.42,80.68,359.68,358.80,18.34,1989.26,0.51%,0.50%,16.64,9.36,1,0,5133,699,5646,0," 1,729,361 ",0.33%,0.33%
32016,03/10/2016,81.88,82.08,353.12,352.32,18.05,1989.57,0.02%,0.02%,16.61,9.93,1,0,5133,699,7186,0," 1,736,548 ",0.42%,0.41%
