Date,SVXY_adj_close_price,VXX_adj_close_price,^GSPC_adj_close_price,^VIX_adj_close_price,SVXY_adj_open_price,VXX_adj_open_price
05/15/2012,40,4974.08,1330.66,21.97,41.8,4743.68
05/16/2012,38.51,5137.92,1324.8,22.27,40.51,4889.6
05/17/2012,36.66,5376,1304.86,24.49,38.87,5099.52
05/18/2012,34.2,5724.16,1295.22,25.1,36.86,5345.28
05/21/2012,37.9,5094.4,1315.99,22.01,34.36,5701.12
05/22/2012,36.38,5276.16,1316.63,22.48,38.36,5038.08
05/23/2012,37.08,5189.12,1318.86,22.33,35.54,5416.96
05/24/2012,36.75,5227.78,1320.68,21.54,37.44,5153.28
05/25/2012,37.22,5173.76,1317.82,21.76,36.86,5222.4
05/29/2012,38.91,4920.32,1332.42,21.03,38.26,5020.16
05/30/2012,36.29,5260.8,1313.32,24.14,37.87,5058.56
05/31/2012,35.6,5329.92,1310.33,24.06,35.83,5304.32
06/01/2012,32.65,5780.48,1278.04,26.66,32.99,5731.84
06/04/2012,34.06,5547.52,1278.18,26.12,33.37,5662.72
06/05/2012,34.7,5419.52,1285.5,24.68,33.64,5601.28
06/06/2012,37.27,5030.4,1315.13,22.16,35.83,5255.68
06/07/2012,37.65,4981.76,1314.99,21.72,38.98,4807.68
06/08/2012,39.67,4710.4,1325.66,21.23,37.38,5009.92
06/11/2012,36.22,5105.92,1308.93,23.56,41.13,4544
06/12/2012,36.68,5017.09,1324.18,22.09,36.31,5068.8
06/13/2012,34.76,5274.88,1314.88,24.27,35.73,5140.48
06/14/2012,36.99,4947.97,1329.1,21.68,35.04,5232.64
06/15/2012,38.46,4733.44,1342.84,21.11,37.22,4899.84
06/18/2012,41.74,4344.32,1344.78,18.32,38.72,4707.84
06/19/2012,42.48,4257.28,1357.98,18.38,43.17,4190.72
06/20/2012,44.24,4078.08,1355.69,17.24,42.51,4249.6
06/21/2012,38.92,4531.2,1325.51,20.08,44.11,4078.08
06/22/2012,43.04,4067.84,1335.02,18.11,40.46,4362.24
06/25/2012,39.87,4387.84,1313.72,20.38,40.44,4346.88
06/26/2012,41.16,4267.52,1319.99,19.72,41.13,4267.52
06/27/2012,40.78,4303.36,1331.85,19.45,41.74,4200.96
06/28/2012,42.07,4162.56,1329.04,19.71,40.33,4344.32
06/29/2012,44.92,3893.76,1362.16,17.08,44.56,3924.48
07/02/2012,47.76,3639.42,1365.51,16.8,45.82,3806.72
07/03/2012,48.72,3558.4,1374.02,16.66,48.04,3614.72
07/05/2012,46.92,3686.4,1367.58,17.5,48.42,3581.44
07/06/2012,47.24,3650.3,1354.68,17.1,45.51,3791.36
07/09/2012,47.72,3619.84,1352.46,17.98,47.66,3627.52
07/10/2012,46.4,3719.68,1341.47,18.72,48.49,3560.96
07/11/2012,47.78,3599.36,1341.45,17.95,46.47,3709.44
07/12/2012,47.31,3620.35,1334.76,18.33,46.65,3681.28
07/13/2012,50.08,3417.6,1356.78,16.74,48.11,3576.32
07/16/2012,50.65,3372.8,1353.64,17.11,50.21,3409.92
07/17/2012,52.46,3251.2,1363.67,16.48,51.6,3325.44
07/18/2012,51.9,3289.6,1372.78,16.16,52.23,3274.24
07/19/2012,53.08,3212.8,1376.51,15.45,52.33,3271.68
07/20/2012,50.25,3379.2,1362.66,16.27,51.5,3312.64
07/23/2012,46.74,3599.36,1350.52,18.62,46.26,3653.12
07/24/2012,44.97,3752.96,1338.31,20.47,46.96,3601.92
07/25/2012,45.42,3699.2,1337.89,19.34,45.19,3735.04
07/26/2012,48.94,3417.6,1360.02,17.53,48.23,3471.36
07/27/2012,50.13,3325.44,1385.97,16.7,50.93,3276.8
07/30/2012,49.08,3394.56,1385.3,18.03,50.56,3299.84
07/31/2012,47.63,3491.84,1379.32,18.93,48.03,3461.12
08/01/2012,48.66,3415.04,1375.32,18.96,48.53,3425.28
08/02/2012,49.75,3335.68,1365,17.57,47.4,3496.96
08/03/2012,53.23,3113.22,1390.99,15.64,51.67,3210.24
08/06/2012,54.45,3036.16,1394.23,15.95,53.99,3066.88
08/07/2012,52.85,3128.32,1401.35,15.99,55.25,2992.64
08/08/2012,55.01,2997.76,1402.22,15.32,52.97,3110.4
08/09/2012,55.22,2977.28,1402.8,15.28,54.54,3014.4
08/10/2012,56.21,2923.52,1405.87,14.74,54.63,3010.56
08/13/2012,57.74,2849.28,1404.11,13.7,56.03,2938.88
08/14/2012,54.76,3007.49,1403.93,14.85,57.56,2867.2
08/15/2012,54.77,3008,1405.53,14.63,54.79,3013.12
08/16/2012,55.87,2946.56,1415.51,14.29,55.01,2997.76
08/17/2012,57.35,2867.2,1418.16,13.45,56.4,2918.4
08/20/2012,57.4,2867.2,1418.13,14.02,56.85,2890.24
08/21/2012,55.84,2944,1413.17,15.02,58.11,2828.8
08/22/2012,55.43,2969.6,1413.49,15.11,54.85,2997.76
08/23/2012,54.28,3023.36,1402.08,15.96,55.01,2979.84
08/24/2012,56.44,2900.48,1411.13,15.18,53.67,3061.76
08/27/2012,56.12,2928.64,1410.44,16.35,56.99,2877.44
